,radius,chord length,blade twist (deg),dT,dQ,AoA (deg),Cl,Cd,Cl/Cd
0,0.208,0.3,60.0,0.638,0.321,-1.656,0.101,0.01,9.681
1,0.224,0.298,59.082,1.472,0.644,-0.705,0.187,0.01,18.51
2,0.24,0.296,58.163,2.317,0.974,0.098,0.259,0.01,25.881
3,0.256,0.294,57.245,3.232,1.333,0.839,0.326,0.01,32.199
4,0.272,0.292,56.327,4.222,1.724,1.528,0.388,0.01,37.393
5,0.288,0.29,55.408,5.284,2.143,2.165,0.445,0.011,41.463
6,0.304,0.288,54.49,6.409,2.588,2.749,0.497,0.011,44.512
7,0.32,0.286,53.571,7.588,3.055,3.28,0.545,0.012,46.705
8,0.336,0.284,52.653,8.811,3.539,3.756,0.588,0.012,48.223
9,0.352,0.282,51.735,10.069,4.037,4.178,0.626,0.013,49.236
10,0.368,0.28,50.816,11.351,4.545,4.548,0.659,0.013,49.884
11,0.384,0.278,49.898,12.647,5.059,4.866,0.688,0.014,50.279
12,0.4,0.276,48.98,13.947,5.575,5.135,0.712,0.014,50.504
13,0.416,0.273,48.061,15.241,6.088,5.357,0.732,0.014,50.621
14,0.432,0.271,47.143,16.521,6.595,5.535,0.748,0.015,50.672
15,0.448,0.269,46.224,17.777,7.092,5.67,0.76,0.015,50.687
16,0.464,0.267,45.306,19.0,7.575,5.765,0.769,0.015,50.686
17,0.48,0.265,44.388,20.182,8.041,5.823,0.774,0.015,50.681
18,0.496,0.263,43.469,21.315,8.486,5.846,0.776,0.015,50.678
19,0.512,0.261,42.551,22.39,8.907,5.835,0.775,0.015,50.68
20,0.528,0.259,41.633,23.4,9.3,5.793,0.771,0.015,50.684
21,0.544,0.257,40.714,24.336,9.662,5.722,0.765,0.015,50.688
22,0.56,0.255,39.796,25.191,9.989,5.624,0.756,0.015,50.684
23,0.576,0.253,38.878,25.957,10.279,5.5,0.745,0.015,50.665
24,0.592,0.251,37.959,26.627,10.529,5.351,0.732,0.014,50.619
25,0.608,0.249,37.041,27.195,10.735,5.18,0.716,0.014,50.533
26,0.624,0.247,36.122,27.651,10.896,4.987,0.699,0.014,50.392
27,0.64,0.245,35.204,27.991,11.009,4.773,0.68,0.014,50.179
28,0.656,0.243,34.286,28.207,11.072,4.541,0.659,0.013,49.874
29,0.672,0.241,33.367,28.293,11.082,4.29,0.636,0.013,49.455
30,0.688,0.239,32.449,28.243,11.038,4.022,0.612,0.013,48.897
31,0.704,0.237,31.531,28.052,10.938,3.738,0.586,0.012,48.174
32,0.72,0.235,30.612,27.713,10.782,3.439,0.56,0.012,47.259
33,0.736,0.233,29.694,27.223,10.568,3.126,0.531,0.012,46.124
34,0.752,0.231,28.776,26.577,10.296,2.799,0.502,0.011,44.74
35,0.768,0.229,27.857,25.771,9.966,2.46,0.471,0.011,43.085
36,0.784,0.227,26.939,24.803,9.578,2.109,0.44,0.011,41.136
37,0.8,0.224,26.02,23.67,9.132,1.748,0.407,0.01,38.882
38,0.816,0.222,25.102,22.371,8.63,1.377,0.374,0.01,36.319
39,0.832,0.22,24.184,20.905,8.073,0.997,0.34,0.01,33.454
40,0.848,0.218,23.265,19.275,7.465,0.609,0.305,0.01,30.309
41,0.864,0.216,22.347,17.484,6.807,0.216,0.269,0.01,26.92
42,0.88,0.214,21.429,15.535,6.105,-0.183,0.234,0.01,23.34
43,0.896,0.212,20.51,13.439,5.364,-0.585,0.197,0.01,19.633
44,0.912,0.21,19.592,11.207,4.59,-0.987,0.161,0.01,15.876
45,0.928,0.208,18.673,8.862,3.794,-1.387,0.125,0.01,12.153
46,0.944,0.206,17.755,6.435,2.989,-1.78,0.09,0.01,8.559
47,0.96,0.204,16.837,3.984,2.197,-2.158,0.056,0.011,5.201
48,0.976,0.202,15.918,1.624,1.459,-2.506,0.024,0.011,2.225
49,0.992,0.2,15.0,-0.314,0.877,-2.782,-0.0,0.011,-0.031
